Date,State,Fips (standard geographic identifier),Cases,Deaths
2020-03-01,California,6,33,0
2020-03-02,California,6,38,0
2020-03-03,California,6,45,0
2020-03-04,California,6,55,1
2020-03-05,California,6,67,1
2020-03-06,California,6,81,1
2020-03-07,California,6,100,1
2020-03-08,California,6,112,1
2020-03-09,California,6,172,2
2020-03-10,California,6,179,3
2020-03-11,California,6,202,4
2020-03-12,California,6,252,4
2020-03-13,California,6,320,5
2020-03-14,California,6,381,5
2020-03-15,California,6,478,6
2020-03-16,California,6,588,11
2020-03-17,California,6,732,14
2020-03-18,California,6,893,17
2020-03-19,California,6,1067,19
2020-03-20,California,6,1283,24
2020-03-21,California,6,1544,28
2020-03-22,California,6,1851,35
2020-03-23,California,6,2240,39
2020-03-24,California,6,2644,52
2020-03-25,California,6,3183,68
2020-03-26,California,6,4060,83
2020-03-27,California,6,4915,104
2020-03-28,California,6,5566,122
2020-03-29,California,6,6321,132
2020-03-30,California,6,7421,147
2020-03-31,California,6,8583,184
2020-04-01,California,6,9857,212
2020-04-02,California,6,11190,247
2020-04-03,California,6,12569,282
2020-04-04,California,6,13796,323
2020-04-05,California,6,15202,351
2020-04-06,California,6,16361,386
2020-04-07,California,6,17540,447
2020-04-08,California,6,19043,506
2020-04-09,California,6,20191,548
2020-04-10,California,6,21366,594
2020-04-11,California,6,22421,632
2020-04-12,California,6,23323,676
2020-04-13,California,6,24334,725
2020-04-14,California,6,25758,778
2020-04-15,California,6,27107,885
2020-04-16,California,6,28142,971
2020-04-17,California,6,29398,1050
2020-04-18,California,6,30829,1146
2020-04-19,California,6,31544,1176
2020-04-20,California,6,33862,1223
2020-04-21,California,6,35844,1316
2020-04-22,California,6,37573,1425
2020-04-23,California,6,39534,1548
2020-04-24,California,6,41368,1619
2020-04-25,California,6,42590,1692
2020-04-26,California,6,43691,1716
2020-04-27,California,6,45208,1800
2020-04-28,California,6,46570,1884
2020-04-29,California,6,48904,1961
2020-04-30,California,6,50470,2057
2020-05-01,California,6,52318,2147
2020-05-02,California,6,53753,2213
2020-05-03,California,6,55072,2235
2020-05-04,California,6,56333,2297
2020-05-05,California,6,58848,2386
2020-05-06,California,6,60787,2478
2020-05-07,California,6,62481,2561
2020-05-08,California,6,64616,2650
2020-05-09,California,6,66824,2732
2020-05-10,California,6,68051,2769
2020-05-11,California,6,69514,2820
2020-05-12,California,6,71150,2902
2020-05-13,California,6,73218,3014
2020-05-14,California,6,74947,3039
2020-05-15,California,6,77015,3192
2020-05-16,California,6,78933,3254
2020-05-17,California,6,80366,3290
2020-05-18,California,6,81943,3322
2020-05-19,California,6,83981,3422
2020-05-20,California,6,86125,3514
2020-05-21,California,6,88488,3624
2020-05-22,California,6,90801,3690
2020-05-23,California,6,92815,3768
2020-05-24,California,6,94743,3790
2020-05-25,California,6,97017,3808
2020-05-26,California,6,99924,3859
2020-05-27,California,6,101873,3961
2020-05-28,California,6,104071,4042
2020-05-29,California,6,107043,4144
2020-05-30,California,6,110100,4214
2020-05-31,California,6,113114,4242
2020-06-01,California,6,115643,4287
2020-06-02,California,6,118081,4360
2020-06-03,California,6,120407,4422
2020-06-04,California,6,122917,4484
2020-06-05,California,6,126510,4550
2020-06-06,California,6,129147,4626
2020-06-07,California,6,131997,4653
2020-06-08,California,6,134287,4679
2020-06-09,California,6,137245,4775
2020-06-10,California,6,140139,4869
2020-06-11,California,6,143709,4941
2020-06-12,California,6,147285,4986
2020-06-13,California,6,150434,5059
2020-06-14,California,6,152953,5089
2020-06-15,California,6,155662,5120
2020-06-16,California,6,159131,5202
2020-06-17,California,6,163381,5283
2020-06-18,California,6,167135,5359
2020-06-19,California,6,170843,5425
2020-06-20,California,6,174854,5495
2020-06-21,California,6,178807,5517
2020-06-22,California,6,184620,5561
2020-06-23,California,6,191039,5637
2020-06-24,California,6,195889,5728
2020-06-25,California,6,201413,5810
2020-06-26,California,6,207027,5872
2020-06-27,California,6,211453,5902
2020-06-28,California,6,216955,5937
2020-06-29,California,6,223995,5979
2020-06-30,California,6,232153,6083
2020-07-01,California,6,239764,6168
2020-07-02,California,6,248198,6263
2020-07-03,California,6,256298,6315
2020-07-04,California,6,265176,6329
2020-07-05,California,6,271587,6369
2020-07-06,California,6,277869,6452
2020-07-07,California,6,287766,6563
2020-07-08,California,6,296304,6708
2020-07-09,California,6,303516,6825
2020-07-10,California,6,311505,6936
2020-07-11,California,6,320030,7012
2020-07-12,California,6,327676,7042
2020-07-13,California,6,336206,7086
2020-07-14,California,6,346593,7227
2020-07-15,California,6,355497,7368
2020-07-16,California,6,364761,7490
2020-07-17,California,6,374922,7607
2020-07-18,California,6,383194,7697
2020-07-19,California,6,391460,7710
2020-07-20,California,6,400195,7764
2020-07-21,California,6,410366,7883
2020-07-22,California,6,422528,8038
2020-07-23,California,6,433175,8190
2020-07-24,California,6,443096,8325
2020-07-25,California,6,453327,8428
